id,smiles,pKi
ZINC000000896650,CN1CCCC[C@H]1CCN1c2ccccc2Sc2ccc([S@@](C)=O)cc21,7.6
ZINC000000896740,Clc1ccc(CO[C@@H](Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,5.95
ZINC000000968310,CN1CCN2c3ncccc3Cc3ccccc3[C@H]2C1,8.7
ZINC000001481850,O[C@H](c1ccccc1)C1CCN(CCc2ccccc2)CC1,8.61
ZINC000001483557,O[C@H]1c2ccccc2CCC12CCN(CCc1ccccc1)CC2,9.4
ZINC000001485923,Cn1cc(-c2ccc3c(c2)c(C2CCN(CCN4CCNC4=O)CC2)cn3-c2ccc(F)cc2)nn1,6.96
ZINC000001489634,COc1ccccc1N1CCN(CC[C@@H](O)c2csc3ccccc23)CC1,6.6
ZINC000001493052,c1ccc(CN2CCC3(CCCc4ccccc43)CC2)cc1,5.15
ZINC000001493859,CC(C)n1nc(C(=O)NCC2CCN(CCc3ccccn3)CC2)c2ccccc21,7.0
ZINC000001530579,COc1ccccc1OCCNC[C@H](O)COc1cccc2[nH]c3ccccc3c12,6.93
ZINC000001530580,COc1ccccc1OCCNC[C@@H](O)COc1cccc2[nH]c3ccccc3c12,6.93
ZINC000001530637,CNCC[C@H](Oc1ccc(C(F)(F)F)cc1)c1ccccc1,7.26
ZINC000001530638,CNCC[C@@H](Oc1ccc(C(F)(F)F)cc1)c1ccccc1,7.26
ZINC000001530695,CSc1ccc2c(c1)N(CC[C@@H]1CCCCN1C)c1ccccc1S2,8.9
ZINC000001530697,CSc1ccc2c(c1)N(CC[C@H]1CCCCN1C)c1ccccc1S2,8.9
ZINC000001530759,CCCNC[C@H](O)COc1ccccc1C(=O)CCc1ccccc1,6.73
ZINC000001530760,CCCNC[C@@H](O)COc1ccccc1C(=O)CCc1ccccc1,6.73
ZINC000001530830,CN(C)CCc1c[nH]c2cccc(OP(=O)(O)O)c12,5.46
ZINC000001533575,COc1ccccc1N1CCN(CCCCc2ccc3[nH]c(=O)sc3c2)CC1,6.82
ZINC000001533883,Fc1ccc(-n2cc(CCCCN3CCC4(CC3)OCc3ccccc34)c3ccccc32)cc1,5.7
ZINC000001537189,C[C@H]1SC(C)(C)C(=O)N1CCCCN1CCN(c2csc3cc(F)ccc23)CC1,8.1
ZINC000001542113,N#Cc1ccc2[nH]cc(CCCCN3CCN(c4ccc5oc(C(N)=O)cc5c4)CC3)c2c1,5.82
ZINC000001542665,Fc1ccc(C2CCN(CCCCc3cn(-c4ccc(F)cc4)c4ccccc34)CC2)cc1,6.57
ZINC000001542666,Fc1ccc(C2=C[C@H]3CC[C@@H](C2)N3CCCCc2cn(-c3ccc(F)cc3)c3ccccc23)cc1,5.43
ZINC000001542901,Cc1cc2c(OC[C@H](CNC(C)(C)C)OC(=O)c3ccccc3)cccc2[nH]1,6.34
ZINC000001543265,Cc1coc2cc(OCCCN3CCC(C(=O)c4ccc(F)cc4)CC3)ccc2c1=O,7.6
ZINC000001545114,O=C1CC2(CCCC2)[C@@H](O)C(=O)N1CCCCN1CCN(c2nsc3ccccc23)CC1,8.96
ZINC000001545565,CCCCCNC(=N)N/N=C/c1c[nH]c2ccc(OC)cc12,7.0
ZINC000001548097,COc1cc(C(C)=O)ccc1OCCCN1CCC(c2noc3cc(F)ccc23)CC1,8.05
ZINC000001550393,CCCCN1CCC(COc2nc3ccsc3n3cccc23)CC1,6.78
ZINC000001554072,Cn1cnc(-c2ccc3c(c2)c(C2CCN(CCC#N)CC2)cn3-c2ccc(F)cc2)n1,5.92
ZINC000001554701,CCCN(CCCCNS(=O)(=O)c1ccc(C)cc1)[C@H]1COc2cccc(OC)c2C1,5.3
ZINC000001554702,CCCN(CCCCN1C(=O)[C@H]2CCC[C@H]2C1=O)[C@H]1COc2cccc(OC)c2C1,5.52
ZINC000001555090,O=C(NCCCCN1CCN(c2nsc3ccccc23)CC1)c1nsc2ccccc12,6.7
ZINC000001571009,CC(C)(C)CC(C)(C)c1ccc(OCCOCC[N+](C)(C)Cc2ccccc2)cc1,7.43
ZINC000001578513,CC(C)(C)NC1=NCCNC(c2ccccc2)=C1,7.46
ZINC000001586284,COc1ccc(OC)c(C[C@H](C)N)c1,5.33
ZINC000001621829,Clc1ccccc1N1CCN(CCc2ccccc2)CC1,6.32
ZINC000001635352,CN1CCN(c2nc3cc(F)ccc3n3cccc23)CC1,6.91
ZINC000001663892,CN1CCC(=C(c2ccccc2)c2ccccc2)CC1,7.89
ZINC000001668616,NC[C@H]1CC2c3ccccc3C1c1ccccc12,5.02
ZINC000001692965,COc1cccc(C[C@@H](C)N)c1OC,5.37
ZINC000001841010,COc1ccc(OC)c(C[C@@H](C)N)c1,8.04
ZINC000001843091,O[C@@H](c1ccccc1)C1CCN(CCc2ccccc2)CC1,8.61
ZINC000001846593,O=C1NCN(c2ccccc2)C12CCN(CCCOc1ccc(F)cc1)CC2,9.5
ZINC000001850396,CCc1cc(OC)c(C[C@@H](C)N)cc1OC,7.0
ZINC000001850397,CCc1cc(OC)c(C[C@H](C)N)cc1OC,7.0
ZINC000001893112,O=c1c(CO)coc2cc(OCCCN3CCC(c4noc5cc(F)ccc45)CC3)ccc12,8.72
ZINC000001893115,O=c1ccoc2cc(OCCCN3CCC(c4noc5cc(F)ccc45)CC3)ccc12,8.07
ZINC000001893117,Cc1coc2cc(OCCCN3CCC(c4noc5cc(F)ccc45)CC3)ccc2c1=O,7.95
ZINC000001893705,C[C@@H]1SC2(CCCC2)C(=O)N1CCCCN1CCN(c2csc3cc(F)ccc23)CC1,8.4
ZINC000001912758,CCCN1CCC(COc2nc3ccccc3c3c2CCCN3)CC1,5.3
ZINC000001915508,O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2nsc3ccccc23)CC1,9.4
ZINC000001995685,CNCCc1c[nH]c2ccccc12,7.29
ZINC000001999157,CCNCCc1c[nH]c2ccccc12,7.42
ZINC000001999162,CCN(CC)CCc1c[nH]c2ccccc12,6.88
ZINC000001999529,O=C1c2ccccc2S(=O)(=O)N1CCCCN1CCN(c2ncccn2)CC1,5.12
ZINC000002003474,CNCCc1c[nH]c(CCC(c2ccccc2)c2ccccc2)n1,5.39
ZINC000002007415,COCc1coc2cc(OCCCN3CCC(c4noc5cc(F)ccc45)CC3)ccc2c1=O,8.85
ZINC000002007418,O=Cc1coc2cc(OCCCN3CCC(c4noc5cc(F)ccc45)CC3)ccc2c1=O,8.68
ZINC000002007421,O=C(O)c1coc2cc(OCCCN3CCC(c4noc5cc(F)ccc45)CC3)ccc2c1=O,9.22
ZINC000002007426,O=c1cc(CO)oc2cc(OCCCN3CCC(c4noc5cc(F)ccc45)CC3)ccc12,8.14
ZINC000002009554,COc1ccc2[nH]cc(C[C@H](C)N)c2c1,8.8
ZINC000002009555,COc1ccc2[nH]cc(C[C@@H](C)N)c2c1,8.8
ZINC000002009671,COc1ccccc1N1CCN(CCCCN2C(=O)CCC2=O)CC1,5.82
ZINC000002012156,C[C@H](N)Cc1c[nH]c2ccc(O)cc12,9.0
ZINC000002012157,C[C@@H](N)Cc1c[nH]c2ccc(O)cc12,9.0
ZINC000002015685,COc1cc(OC)c(OC)cc1C[C@H](C)N,5.92
ZINC000002015686,COc1cc(OC)c(OC)cc1C[C@@H](C)N,5.92
ZINC000002017838,CN1CCc2cc(Cl)c(O)cc2[C@@H](c2ccccc2)C1,7.97
ZINC000002032320,Cc1cc2c(OC[C@@H](CNC(C)(C)C)OC(=O)c3ccccc3)cccc2[nH]1,6.34
ZINC000002035314,COc1ccc2[nH]cc([C@H](C)CN)c2c1,8.66
ZINC000002036052,CCN(CC)CCc1c[nH]c2cc(F)ccc12,6.84
ZINC000002384146,NCCc1c[nH]c2cccc(F)c12,7.55
ZINC000002516045,c1ccc2c(N3CCNCC3)cccc2c1,7.21
ZINC000002530693,COc1cc(C[C@H](C)N)c(OC)cc1I,9.34
ZINC000002559936,CNc1cc(OC)c(C(=O)N[C@H]2CCN(Cc3ccccc3)[C@@H]2C)cc1Cl,7.31
ZINC000002559943,C[C@@H]([C@@H](O)c1ccc(O)cc1)N1CCC(Cc2ccccc2)CC1,6.21
ZINC000002568290,c1ccc2c(N3CCNCC3)nsc2c1,6.96
ZINC000002572406,Cc1ccc2c(CCN)c[nH]c2c1,7.12
ZINC000002585997,COc1cc(CCN)cc(OC)c1OCCc1ccccc1,7.23
ZINC000003292410,CN1CCC(N(C)S(=O)(=O)c2ccc(C(C)(C)C)cc2)CC1,6.28
ZINC000003328480,Cc1ccc(S(=O)(=O)N(C)C2CCN(C)CC2)cc1,5.67
ZINC000003616630,C[C@H]([C@@H](O)c1ccc(O)cc1)N1CCC(Cc2ccccc2)CC1,6.21
ZINC000003625720,COc1cc(C[C@H](C)N)cc(OC)c1Br,6.68
ZINC000003625721,COc1cc(C[C@@H](C)N)cc(OC)c1Br,6.68
ZINC000003635820,CCCN(CCCCN1C(=O)CC2(CCCC2)CC1=O)[C@@H]1COc2cccc(OC)c2C1,6.0
ZINC000003635823,CCCN(CCCCN1C(=O)CC2(CCCC2)CC1=O)[C@H]1COc2cccc(OC)c2C1,6.0
ZINC000003683831,CN1CCC[C@@H](CN2c3ccccc3Sc3ccccc32)C1,6.96
ZINC000003683833,CN1CCC[C@H](CN2c3ccccc3Sc3ccccc32)C1,6.96
ZINC000003775140,COc1cc(N)c(Cl)cc1C(=O)N[C@@H]1CCN(CCCOc2ccc(F)cc2)C[C@@H]1OC,8.96
ZINC000003779247,COc1ccc2[nH]cc(C[C@H]3CCCN3C)c2c1,6.4
ZINC000003782398,O=C1Cc2cc(CCN3CCN(c4cccc5ccccc45)CC3)ccc2N1,7.7
ZINC000003784026,O=S(=O)(N[C@@H](CCCN1CCN(c2ncc(F)cn2)CC1)c1ccc(F)cc1)c1ccc(F)cc1,5.47
ZINC000003793084,C[C@@H]1SC(C)(C)C(=O)N1CCCCN1CCN(c2csc3cc(F)ccc23)CC1,8.1
ZINC000003798527,O=C1CC2(CCCC2)[C@H](O)C(=O)N1CCCCN1CCN(c2nsc3ccccc23)CC1,8.96
ZINC000003800232,CCCN(CCCCNS(=O)(=O)c1ccc(C)cc1)[C@@H]1COc2cccc(OC)c2C1,5.3
ZINC000003800235,CCCN(CCCCN1C(=O)[C@H]2CCC[C@H]2C1=O)[C@@H]1COc2cccc(OC)c2C1,5.52
ZINC000003802200,O[C@@H]1c2ccccc2CCC12CCN(CCc1ccccc1)CC2,9.4
ZINC000003804600,CN(CCCCN1CCN(c2nsc3ccccc23)CC1)C(=O)c1nsc2ccccc12,7.89
ZINC000003804610,CN(CCCCN1CCN(c2csc3cc(F)ccc23)CC1)C(=O)c1noc2ccccc12,6.73
ZINC000003808341,O=C(c1ccc(F)cc1)C1CCN(CCn2c(=O)sc3cc(CCCCN4CCOCC4)ccc32)CC1,9.22
ZINC000003810797,COc1cccc2c1CCC[C@H]2CN(C)CCc1ccc2ccoc2c1,6.84
ZINC000003812551,COc1ccc(N2CCN(CC[C@H]3OCCc4ccccc43)CC2)cc1,7.12
ZINC000003812888,COc1ccc(CCN(C)CCC[C@](C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,6.9
ZINC000003812892,CC(C)(C)c1ccc([C@@H](O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,7.14
ZINC000003813788,O=C(c1ccc(F)cc1)C1CCN(CCCOc2ccc3c(=O)c(CO)coc3c2)CC1,7.48
ZINC000003825883,CNC[C@@H]1C[C@H]2c3ccccc3Cc3ccccc3N2O1,7.88
ZINC000003826485,CNS(=O)(=O)Cc1ccc2[nH]cc(CCN3CC[C@@H](CNCc4ccccc4)C3)c2c1,5.24
ZINC000003827164,Cc1ccc(N2CCN(CC[C@@H]3NC(=O)c4ccccc43)CC2)cc1C,7.84
ZINC000003827662,OC[C@H](NC1CCN(CCCc2c[nH]c3ccc(-n4cnnc4)cc23)CC1)c1ccc(F)cc1,5.96
ZINC000003830564,COc1cc(N)c(Cl)cc1C(=O)N[C@H]1CCN(CCCOc2ccc(F)cc2)C[C@@H]1OC,8.96
ZINC000003831041,CN1CCCC[C@@H]1CCN1c2ccccc2Sc2ccc([S@](C)=O)cc21,8.6
ZINC000003831042,CN1CCCC[C@H]1CCN1c2ccccc2Sc2ccc([S@](C)=O)cc21,7.6
ZINC000003831171,CCN(CC)CCOC(=O)[C@@H](Cc1cccc2ccccc12)C[C@@H]1CCCO1,6.82
ZINC000003831172,CCN(CC)CCOC(=O)[C@H](Cc1cccc2ccccc12)C[C@@H]1CCCO1,6.59
ZINC000003831173,CCN(CC)CCOC(=O)[C@@H](Cc1cccc2ccccc12)C[C@H]1CCCO1,6.84
ZINC000003831174,CCN(CC)CCOC(=O)[C@H](Cc1cccc2ccccc12)C[C@H]1CCCO1,6.59
ZINC000003831511,CC(C)(C)c1ccc([C@H](O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,7.14
ZINC000003838264,Cn1c(=O)c2c(nc3nc(NCCCN4CCN(c5ccccc5)CC4)c(Br)cn32)n(C)c1=O,6.53
ZINC000003860825,COC(=O)[C@H]1[C@@H](O)CC[C@H]2CN3CCc4c([nH]c5ccccc45)[C@@H]3C[C@@H]21,5.79
ZINC000003871832,COc1ccc(CCN(C)CCC[C@@](C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,6.9
ZINC000003872738,NC(N)=NC(=O)Cc1c(Cl)cccc1Cl,6.06
ZINC000003873371,Clc1ccc(CS[C@@H](Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1,5.95
ZINC000003874491,CNc1cc(OC)c(C(=O)N[C@@H]2CCN(Cc3ccccc3)[C@H]2C)cc1Cl,7.31
ZINC000003916060,O=C1C[C@@H](CN2CCC(c3noc4cc(F)ccc34)CC2)Cc2[nH]c3ccccc3c21,9.5
ZINC000003916062,O=C1C[C@@H](CN2CCC(C(=O)c3ccc(F)cc3)CC2)Cc2[nH]c3ccccc3c21,9.2
ZINC000003916775,O=C(c1ccc(F)cc1)C1CCN(CCn2c(=O)sc3cc(CCCCN4CCN(c5cccc(C(F)(F)F)c5)CC4)ccc32)CC1,7.3
ZINC000003917082,COc1ccccc1N1CCN(CCCCc2ccc3c(c2)sc(=O)n3CCN2CCC(C(=O)c3ccc(F)cc3)CC2)CC1,8.7
ZINC000003919778,C[C@H]1CN(c2cccc(Cl)c2)CCN1CCCn1nc2ccccn2c1=O,7.6
ZINC000003927092,CN(C)CCn1cc(S(=O)(=O)c2cccc(Cl)c2)c2cccnc21,6.88
ZINC000003927095,CN(C)CCn1cc(S(=O)(=O)c2cccc3ccccc23)c2cccnc21,6.03
ZINC000003929032,C[C@H]1SC2(CCCC2)C(=O)N1CCCCN1CCN(c2csc3cc(F)ccc23)CC1,8.4
ZINC000003931718,O=C1c2ccccc2S(=O)(=O)N1CCCCN1CC[C@@H](c2ccccc2)C1,7.47
ZINC000003937620,O=C(CCCN1CC[C@@](O)(c2ccc(Cl)cc2)C1)c1ccc(F)cc1,7.12
ZINC000003941211,O=C1c2ccsc2CC[C@H]1CCN1CCC(c2noc3cc(F)ccc23)CC1,9.87
ZINC000003948260,CN(C)[C@@H]1CC[C@H](c2c[nH]c3ccc(C#N)cc23)C1,6.08
ZINC000003948572,O=C1C[C@H](c2ccccc2)c2cccc(CCN3CCN(c4nsc5ccccc45)CC3)c2N1,9.74
