id,smiles,pKi
ZINC000013761066,COc1cc(N)c(Cl)cc1C(=O)OCCN1[C@@H](C)CCC[C@H]1C,7.4
ZINC000013761067,COc1cc(N)c(Cl)cc1C(=O)OCCN1[C@H](C)CCC[C@H]1C,7.4
ZINC000013761068,COc1cc(N)c(Cl)cc1C(=O)OCCN1CCCC(C)(C)C1,8.76
ZINC000013761069,COc1cc(N)c(Cl)cc1C(=O)OCCN1CCC(O)CC1,8.85
ZINC000013761070,COc1cc(N)c(Cl)cc1C(=O)OCCN1CCC[C@@H](O)C1,9.0
ZINC000013761071,COc1cc(N)c(Cl)cc1C(=O)OCCN1CCC[C@H](O)C1,9.0
ZINC000013761072,COc1cc(N)c(Cl)cc1C(=O)OCCN1CCC(NC(C)=O)CC1,8.98
ZINC000013761073,COc1cc(N)c(Cl)cc1C(=O)OCCN1CCC(C(N)=O)CC1,8.84
ZINC000013761075,COc1cc(N)c(Cl)cc1C(=O)OCCN1CCOCC1,7.45
ZINC000013761077,COc1cc(N)c(Cl)cc1C(=O)OCCN1CCCC1,8.27
ZINC000013761078,COc1cc(N)c(Cl)cc1C(=O)OCCN1CCCCCC1,9.04
ZINC000013761079,COc1cc(N)c(Cl)cc1C(=O)OCCN1CC=CCC1,8.04
ZINC000013761080,COc1cc(N)c(Cl)cc1C(=O)OCC[n+]1ccccc1,8.21
ZINC000013761081,COc1cc(N)c(Cl)cc1C(=O)OCC[N+]12CCC(CC1)CC2,8.28
ZINC000013761082,COc1cc(N)c(Cl)cc1C(=O)OCCN1CC2CCC(CC2)C1,8.26
ZINC000013761084,COc1cc(N)c(Cl)cc1C(=O)OCCN(C)C,7.33
ZINC000013761085,COc1cc(N)c(Cl)cc1C(=O)O[C@H]1CN2CCC1CC2,7.52
ZINC000013761086,COc1cc(N)c(Cl)cc1C(=O)O[C@@H]1CN2CCC1CC2,7.04
ZINC000013761087,COc1cc(N)c(Cl)cc1C(=O)OC1C[C@@H]2CC[C@H](C1)N2C,7.57
ZINC000013761089,COc1cc(N)c(Cl)cc1C(=O)NCCN1C[C@H](C)C[C@@H](C)C1,6.99
ZINC000013761090,COc1cc(N)c(Cl)cc1C(=O)NCCN1C[C@@H](C)C[C@H](C)C1,6.99
ZINC000013761091,COc1cc(N)c(Cl)cc1C(=O)NCCN1C[C@@H](C)C[C@@H](C)C1,6.99
ZINC000013761092,COc1cc(N)c(Cl)cc1C(=O)OCCN1C[C@H](C)O[C@@H](C)C1,8.2
ZINC000013761093,COc1cc(N)c(Cl)cc1C(=O)OCCN1C[C@@H](C)O[C@H](C)C1,8.2
ZINC000013761094,COc1cc(N)c(Cl)cc1C(=O)OCCN1C[C@H](C)O[C@H](C)C1,8.2
ZINC000013762229,COc1cc(N)c(Cl)cc1NC(=O)OCCN1CCCCC1,7.41
ZINC000013762231,COc1cc(N)c(Cl)cc1NC(=O)OCCN1CCCC1,6.9
ZINC000013762233,COc1cc(N)c(Cl)cc1NC(=O)OCCN1CCCCCC1,7.84
ZINC000013762235,CCN(CC)CCOC(=O)Nc1cc(Cl)c(N)cc1OC,6.82
ZINC000013762237,COc1cc(N)c(Cl)cc1NC(=O)OCCN1CCC[C@@H](C)C1,7.99
ZINC000013762239,COc1cc(N)c(Cl)cc1NC(=O)OCCN1CCC[C@H](C)C1,7.99
ZINC000013762241,COc1cc(N)c(Cl)cc1NC(=O)OCCN1CCC(C)CC1,7.6
ZINC000013762243,COc1cc(N)c(Cl)cc1NC(=O)OCCN1C[C@@H](C)C[C@@H](C)C1,8.62
ZINC000013762245,COc1ccc(Cl)cc1NC(=O)OCCN1CCCCC1,8.38
ZINC000013762248,COc1ccccc1NC(=O)OCCN1C[C@@H](C)C[C@@H](C)C1,8.59
ZINC000013762250,CCOc1ccccc1NC(=O)OCCN1C[C@@H](C)C[C@@H](C)C1,8.98
ZINC000013799447,CCCC[N+]1(C)CCN(CCNC(=O)n2c(=O)n(C(C)C)c3ccccc32)CC1,7.18
ZINC000013799450,CC(C)n1c(=O)n(C(=O)NCCN2CC[N+](C)(C)CC2)c2ccccc21,7.16
ZINC000013799452,C=CC[N+]1(C)CCN(CCNC(=O)n2c(=O)n(C(C)C)c3ccccc32)CC1,7.25
ZINC000013802651,Nc1c(Br)cc(C(=O)N[C@@H]2CN3CCC2CC3)c2[nH]cnc12,6.64
ZINC000013802653,Nc1c(Br)cc(C(=O)N[C@H]2CN3CCC2CC3)c2[nH]cnc12,6.64
ZINC000013802654,Nc1ccc(C(=O)N[C@@H]2CN3CCC2CC3)c2[nH]cnc12,6.11
ZINC000013802656,Nc1ccc(C(=O)N[C@H]2CN3CCC2CC3)c2[nH]cnc12,6.11
ZINC000013802658,O=C(O[C@@H]1CN2CCC1CC2)c1cc(Cl)cc2nc[nH]c12,6.36
ZINC000013802660,O=C(O[C@H]1CN2CCC1CC2)c1cc(Cl)cc2nc[nH]c12,6.36
ZINC000013805803,CCc1[nH]c2ccc(OC)cc2c1CCN(C)C,7.36
ZINC000013915877,C[C@H](O)CCN1CCC(CNC(=O)c2c3n(c4ccccc24)CCCO3)CC1,9.1
ZINC000013918476,CC(C)n1nc(C(=O)NCC2CCN(CCc3ccccc3)CC2)c2ccccc21,10.1
ZINC000018274812,C[S@](=O)c1ccc(-c2nc(-c3ccncc3)c(-c3ccc(F)cc3)[nH]2)cc1,5.75
ZINC000019796018,CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,6.71
ZINC000019796080,O=C(CCCN1CC=C(n2c(=O)[nH]c3ccccc32)CC1)c1ccc(F)cc1,6.2
ZINC000020621755,CCOc1cc(N)c(Cl)cc1C(=O)NC[C@@H]1CN(Cc2ccc(F)cc2)CCO1,7.16
