id,smiles,pKi
ZINC000004898822,CCCN1CCC2(CC1)Oc1ccccc1[C@H]1CC(c3ccc(F)cc3)=NN12,8.74
ZINC000004898829,CCCN1CCC2(CC1)Oc1ccccc1[C@@H]1CC(c3ccccc3)=NN12,8.0
ZINC000004898830,CCCN1CCC2(CC1)Oc1ccccc1[C@H]1CC(c3ccccc3)=NN12,8.0
ZINC000004899035,CCCN1CCC2(CC1)Oc1ccccc1[C@@H]1CC(c3ccccc3Cl)=NN12,6.3
ZINC000004899036,CCCN1CCC2(CC1)Oc1ccccc1[C@H]1CC(c3ccccc3Cl)=NN12,6.3
ZINC000004899178,CC(C)N1CCC2(CC1)Oc1ccccc1[C@@H]1CC(c3ccc(Cl)cc3)=NN12,6.88
ZINC000004899179,CC(C)N1CCC2(CC1)Oc1ccccc1[C@H]1CC(c3ccc(Cl)cc3)=NN12,6.88
ZINC000004957092,COc1ccccc1C[C@@H](C)N,5.54
ZINC000005094019,CCN1CCC2(CC1)Oc1ccccc1[C@@H]1CC(c3ccncc3)=NN12,7.38
ZINC000005094022,CCN1CCC2(CC1)Oc1ccccc1[C@H]1CC(c3ccncc3)=NN12,7.38
ZINC000005296145,CCCN1CCC2(CC1)Oc1ccccc1[C@@H]1CC(c3ccncc3)=NN12,7.82
ZINC000005296149,CCCN1CCC2(CC1)Oc1ccccc1[C@H]1CC(c3ccncc3)=NN12,7.82
ZINC000005442531,CN1CCC2(CC1)Oc1ccccc1[C@@H]1CC(c3ccncc3)=NN12,7.02
ZINC000005442541,CN1CCC2(CC1)Oc1ccccc1[C@H]1CC(c3ccncc3)=NN12,7.02
ZINC000005735105,COc1ccc2[nH]cc([C@@H](C)CN)c2c1,8.08
ZINC000005765126,COc1cc(C[C@@H](C)N)c(OC)cc1C,7.12
ZINC000005765127,COc1cc(C[C@H](C)N)c(OC)cc1C,7.12
ZINC000005845906,CCN(CC)C(=O)[C@@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2NC1,7.27
ZINC000005934789,N[C@H]1CCc2ccccc2C1,5.61
ZINC000006020964,COc1cccc(OC)c1C[C@H](C)N,5.09
ZINC000006020969,COc1cc(Br)c(C[C@H](C)N)cc1OC,5.75
ZINC000006021008,COc1ccc(C[C@H](C)N)c(OC)c1,5.6
ZINC000006021022,COc1cccc(C[C@H](C)N)c1,5.92
ZINC000006021026,COc1cccc(C[C@H](C)N)c1OC,5.54
ZINC000006021033,C[C@H](N)Cc1ccccc1,5.27
ZINC000006036785,COc1cccc(OC)c1C[C@@H](C)N,5.09
ZINC000006036789,COc1cc(Br)c(C[C@@H](C)N)cc1OC,5.75
ZINC000006036792,COc1cc(OC)c(SC)cc1C[C@@H](C)N,5.77
ZINC000006036825,COc1ccc(C[C@@H](C)N)c(OC)c1,5.6
ZINC000006036847,C[C@@H](N)Cc1ccccc1,5.27
ZINC000006069804,COc1cc(C)c(C[C@@H](C)N)cc1OC,5.86
ZINC000006069806,COc1cc(C)c(C[C@H](C)N)cc1OC,5.86
ZINC000006069832,COc1cc(OC)c(C[C@@H](C)N)cc1C,5.61
ZINC000006069833,COc1cc(OC)c(C[C@H](C)N)cc1C,5.61
ZINC000006733302,COc1cc2c(cc1Cl)[C@H](C)CNCC2,6.85
