id,smiles,pKi
ZINC000003632921,CCCc1ccc(C[C@H](C)NC)cc1,5.71
ZINC000003683831,CN1CCC[C@@H](CN2c3ccccc3Sc3ccccc32)C1,6.59
ZINC000003683833,CN1CCC[C@H](CN2c3ccccc3Sc3ccccc32)C1,6.59
ZINC000003775140,COc1cc(N)c(Cl)cc1C(=O)N[C@@H]1CCN(CCCOc2ccc(F)cc2)C[C@@H]1OC,6.4
ZINC000003779247,COc1ccc2[nH]cc(C[C@H]3CCCN3C)c2c1,7.48
ZINC000003787668,NC[C@@H]1O[C@H](c2ccccc2)Cc2c1ccc(O)c2O,5.03
ZINC000003787670,NC[C@@H]1O[C@H](C2CCCCC2)Cc2c1ccc(O)c2O,6.13
ZINC000003794601,CN(C)CCC[C@]1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,6.81
ZINC000003797946,CS(=O)(=O)Nc1ccc(Cc2noc(-c3ccc4[nH]cc(CCN)c4c3)n2)cc1,6.5
ZINC000003800706,CN(C)CCC[C@@]1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,6.81
ZINC000003802200,O[C@@H]1c2ccccc2CCC12CCN(CCc1ccccc1)CC2,6.64
ZINC000003808341,O=C(c1ccc(F)cc1)C1CCN(CCn2c(=O)sc3cc(CCCCN4CCOCC4)ccc32)CC1,7.7
ZINC000003812888,COc1ccc(CCN(C)CCC[C@](C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,6.81
ZINC000003812892,CC(C)(C)c1ccc([C@@H](O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,6.19
ZINC000003825883,CNC[C@@H]1C[C@H]2c3ccccc3Cc3ccccc3N2O1,8.15
ZINC000003828998,COc1ccccc1N1CCC(CNC[C@H]2COc3ccc(Cl)cc3O2)CC1,7.24
ZINC000003830564,COc1cc(N)c(Cl)cc1C(=O)N[C@H]1CCN(CCCOc2ccc(F)cc2)C[C@@H]1OC,6.4
ZINC000003831041,CN1CCCC[C@@H]1CCN1c2ccccc2Sc2ccc([S@](C)=O)cc21,6.95
ZINC000003831042,CN1CCCC[C@H]1CCN1c2ccccc2Sc2ccc([S@](C)=O)cc21,6.39
ZINC000003831511,CC(C)(C)c1ccc([C@H](O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,6.19
ZINC000003870312,CCCN(CCC)[C@@H]1CCc2cccc(O)c2C1,5.14
ZINC000003870313,CCCN(CCC)[C@H]1CCc2cccc(O)c2C1,5.14
ZINC000003871832,COc1ccc(CCN(C)CCC[C@@](C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,6.81
ZINC000003872738,NC(N)=NC(=O)Cc1c(Cl)cccc1Cl,6.12
ZINC000003873371,Clc1ccc(CS[C@@H](Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1,5.84
ZINC000003917082,COc1ccccc1N1CCN(CCCCc2ccc3c(c2)sc(=O)n3CCN2CCC(C(=O)c3ccc(F)cc3)CC2)CC1,6.62
ZINC000003927092,CN(C)CCn1cc(S(=O)(=O)c2cccc(Cl)c2)c2cccnc21,6.32
ZINC000003927095,CN(C)CCn1cc(S(=O)(=O)c2cccc3ccccc23)c2cccnc21,5.95
ZINC000003937620,O=C(CCCN1CC[C@@](O)(c2ccc(Cl)cc2)C1)c1ccc(F)cc1,5.9
ZINC000003954487,CN1CCCC[C@@H]1CCN1c2ccccc2Sc2ccc([S@@](C)=O)cc21,6.95
